Price,Close,High,Low,Open,Volume
Ticker,DB,DB,DB,DB,DB
2015-01-02,22.0733585357666,22.22548867640867,21.89225210979146,22.160290486861445,2545984
2015-01-05,20.878049850463867,21.290974270701902,20.84182794854279,21.269242058077886,3699136
2015-01-06,20.544811248779297,21.088133573953872,20.50134527705961,20.979469418428494,3119424
2015-01-07,20.76214027404785,20.812850314427525,20.486856313388127,20.725918374477338,3012128
2015-01-08,20.805606842041016,21.08089083108924,20.552056613995433,20.559302232694833,2385712
2015-01-09,20.457881927490234,20.798362553341654,20.284018031478837,20.78387441118996,3249680
2015-01-12,20.45063591003418,20.61725418417254,20.14637564549574,20.595521971368825,1618176
2015-01-13,20.791118621826172,21.167822700680983,20.581034369025346,21.124355178838595,2787008
2015-01-14,20.805606842041016,20.820094984344255,20.508592187085714,20.675210466216306,3291008
2015-01-15,20.660722732543945,21.07364562918757,20.588278924499388,20.979471154806138,2563120
2015-01-16,20.769386291503906,20.791120053922125,20.457883473956308,20.544813880985544,3291568
2015-01-20,21.240264892578125,21.370662815051286,21.11711258875439,21.370662815051286,2114224
2015-01-21,21.60247802734375,21.616966168706618,20.92875933585068,20.98671344884982,4022928
2015-01-22,21.90673828125,21.98642460629344,21.559012055707477,21.68216435238719,3591056
2015-01-23,21.196796417236328,21.47208037190295,21.182308276742585,21.3199502540759,3015600
2015-01-26,21.479324340820312,21.53728000179265,21.377904255440257,21.464836199351073,2566256
2015-01-27,20.9215145111084,21.037424289050453,20.805606280714084,20.93600420056849,2610944
2015-01-28,20.233304977416992,20.70418345525057,20.218816837419894,20.66796155771028,3570112
2015-01-29,21.319950103759766,21.377902665326143,21.059154291425624,21.261994447098242,3759728
2015-01-30,20.993961334228516,21.28373349942481,20.950495354694276,21.04467138576047,2483376
2015-02-02,21.85603141784668,21.892253324069923,21.26199896499626,21.31270901468964,3339168
2015-02-03,22.732587814331055,22.77605378733375,22.348641223311397,22.36312936512972,4172336
2015-02-04,22.189266204833984,22.50077209703427,22.160289920241816,22.305175985846002,2758336
2015-02-05,22.522502899169922,22.565968870882283,22.3124186588499,22.46454878606933,1461824
2015-02-06,22.058870315551758,22.297932406448247,22.01540434015714,22.109580362254174,2154432
2015-02-09,22.015405654907227,22.087847919859268,21.82705514701276,21.848787362234003,1265488
2015-02-10,22.029891967773438,22.095090150987282,21.819806181777423,22.044380109032588,1880592
2015-02-11,21.85603141784668,22.044383473150063,21.740123174989787,22.029895329679928,1376592
2015-02-12,22.88471794128418,22.913695772462496,22.47903759007409,22.51525949216005,2550016
2015-02-13,23.391817092895508,23.493237175116235,23.181732857945093,23.188976928454053,2650928
2015-02-17,23.61639404296875,23.659858471592692,23.283155924016977,23.57292806679697,1708672
2015-02-18,23.75403594970703,23.811988520978208,23.594660188519963,23.739546259341406,2997232
2015-02-19,23.61639404296875,23.81198861442001,23.551195852484998,23.67434816201518,3307136
2015-02-20,24.22491455078125,24.326334645733628,23.522217957532956,23.565683933590805,4235168
2015-02-23,23.811988830566406,23.89892078369907,23.652616162402946,23.732302496484674,2465456
2015-02-24,24.01482582092285,24.145223733235763,23.77576530300399,23.898917597232032,1968064
2015-02-25,23.80474090576172,23.891671291623652,23.69607521522617,23.73229711207135,1700832
2015-02-26,23.623634338378906,23.811984808286702,23.59465650971362,23.69607658872074,1554448
2015-02-27,23.7105655670166,23.877185379520693,23.58741327282002,23.696077425945862,1159312
2015-03-02,23.848209381103516,23.884431284109443,23.725057077450234,23.819233096736987,1277808
2015-03-03,23.37733268737793,23.51497469168513,23.29040073228413,23.47150871413823,1426768
2015-03-04,23.304887771606445,23.333865604447592,23.051337537550747,23.22520143950198,1493296
2015-03-05,23.333864212036133,23.44252837049738,23.203466293353998,23.268666026468928,1028496
2015-03-06,23.073070526123047,23.428040841909556,23.058582383961735,23.246934422249854,1428336
2015-03-09,23.160003662109375,23.239689995631633,22.993385376064804,23.232445924179412,1429680
2015-03-10,22.573209762573242,22.805027729876176,22.54423193633008,22.61667572816426,1938608
2015-03-11,22.877471923828125,23.000624213875078,22.69636397635574,22.725341805068457,1719424
2015-03-12,22.96440315246582,23.058579158436167,22.747073312708274,22.94267094226384,1863904
