Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
2015-01-02,46.27431869506836,46.62235532760481,45.96330405077952,46.04476033439831,12600000
2015-01-05,44.83772659301758,46.11880417283959,44.600764429398005,45.95589445085851,20100600
2015-01-06,43.67513656616211,44.9858353168401,43.20861600155856,44.90437903137463,29074100
2015-01-07,43.74177551269531,44.34899140497206,43.4455713982527,44.34899140497206,23843200
2015-01-08,44.71924591064453,45.09690630434465,44.408234127420286,44.408234127420286,16971100
2015-01-09,43.941715240478516,45.015451682334316,43.90469043037562,44.963616383227865,15396200
2015-01-12,43.56405258178711,43.98614158236601,43.14936741244134,43.89727865869874,15455200
2015-01-13,43.571468353271484,44.20830535667994,43.22342886889422,43.88248019690126,21644700
2015-01-14,42.06822967529297,43.57145890999907,40.92784751284817,43.57145890999907,49602300
2015-01-15,40.72050476074219,41.92012600468993,40.35765487764076,41.268478676268835,42458100
2015-01-16,41.41657257080078,41.46840785463419,40.46131749762329,40.476127982262994,29368900
2015-01-20,41.253662109375,41.75720731283942,41.03891430867168,41.49803088082593,23477700
2015-01-21,41.38697052001953,41.77943865553482,40.86861461992746,41.061148183441965,21842400
2015-01-22,42.645835876464844,42.74950649598097,41.438807610357415,41.74982229371831,31423500
2015-01-23,41.97196960449219,42.853172602387296,41.95715911400501,42.74209816095184,15458300
2015-01-26,42.038612365722656,42.20152492451337,41.61652330413945,41.77202920581494,12577700
2015-01-27,41.61653518676758,41.920143244503535,41.290709976154375,41.505457896819834,15220500
2015-01-28,40.54278564453125,41.971965346204705,40.54278564453125,41.927533879251,24354400
2015-01-29,41.224056243896484,41.386968817891336,40.49095531054422,40.92785490232036,20393300
2015-01-30,40.26880645751953,41.09817422756065,40.26139979918714,40.72051657217082,26943700
2015-02-02,41.07596969604492,41.20926132968418,40.187359746720915,40.37989053708142,20308900
2015-02-03,42.001583099365234,42.04601173809584,41.37215007750162,41.401771053196505,18812500
2015-02-04,41.74982452392578,42.26077381518326,41.67577205973527,41.705393045411476,14934100
2015-02-05,42.038612365722656,42.238549735653436,41.80905401695501,42.10525815569958,11293900
2015-02-06,42.867977142333984,43.49000353239012,42.608800656815525,42.764306548126605,25214000
2015-02-09,42.816131591796875,43.02347273055843,42.37923217454135,42.51992754372795,14372400
2015-02-10,43.29006576538086,43.47519263179951,42.986457817446755,43.26044478879905,16367300
2015-02-11,43.22342300415039,43.43817086217343,42.83095492382774,42.99386748161239,13061900
2015-02-12,44.11203384399414,44.215704447417814,43.35671581572042,43.638109471307594,23211300
2015-02-13,44.18607711791992,44.59335846542815,43.94171113422666,44.030571235132236,16479100
2015-02-17,44.50449752807617,44.534118504638656,43.92690260916668,43.95652358572917,15308800
2015-02-18,43.96393966674805,44.504509927974645,43.77881274886993,44.504509927974645,14278100
2015-02-19,43.86026382446289,44.04539072030723,43.54184533762565,43.80102468669507,11256500
2015-02-20,44.282344818115234,44.34899060141668,43.208608453730434,43.66031844890562,15379000
2015-02-23,43.94912338256836,44.08241497185997,43.54184478187164,44.06020064858211,16814000
2015-02-24,45.03765869140625,45.35607709125632,44.489684811300194,44.615569710174576,22937700
2015-02-25,45.27463150024414,45.37089827342556,44.98583400551203,44.993237838151146,18307900
2015-02-26,45.60044479370117,45.689304886361235,45.104303391325374,45.19316348398544,15444800
2015-02-27,45.378299713134766,45.852224071787035,45.26722528053239,45.26722528053239,15225900
2015-03-02,45.741153717041016,45.78558518893026,45.193176862989304,45.378303758642794,13047300
2015-03-03,45.88926315307617,45.90407364607956,45.54122362952833,45.652300914647384,13706900
2015-03-04,46.00773620605469,46.037354362056,45.43013837943985,45.64488625311957,16625500
2015-03-05,45.911460876464844,46.08177724719046,45.61525677314363,46.05956292812546,10931300
2015-03-06,45.089500427246094,46.55570491239164,45.02285464042985,46.029945274625625,22719200
2015-03-09,45.54119873046875,45.63746546995182,45.02284305800524,45.05246402781714,13001500
2015-03-10,44.40081024169922,45.178342222861765,44.40081024169922,44.993215426165406,16357700
2015-03-11,44.60816955566406,44.91177749393697,44.400825551001105,44.526713285062016,13015600
2015-03-12,45.4449348449707,45.504176788314936,44.911771478929246,44.911771478929246,18159600
2015-03-13,45.17094421386719,45.807780928524274,44.748855289001185,45.46714825666945,16506200
2015-03-16,45.80038833618164,45.85222363586568,45.35608496037217,45.541211837761445,15182900
2015-03-17,45.62266159057617,45.65968639579614,45.1117096741813,45.42272425261447,11718300
2015-03-18,45.72633743286133,45.948489114536336,45.23760260325156,45.45975428492657,15697900
2015-03-19,45.31905746459961,45.652286389118125,44.9932323718207,45.593044435954035,11523800
2015-03-20,45.72633743286133,45.98551392401352,45.28203406951132,45.40791898669613,18368300
2015-03-23,45.27463150024414,45.97071041043142,45.25982101015376,45.72634156115832,15112900
2015-03-24,44.77107238769531,45.34867002459753,44.76366855732984,45.148732706994224,12128700
2015-03-25,44.141658782958984,44.90438071211615,44.12684829188253,44.82292442360182,14950900
2015-03-26,44.08981704711914,44.27494392135984,43.59367555525188,44.0305750914524,14039600
2015-03-27,44.09720993041992,44.267526273456646,43.6899314731746,44.05278129951282,11755800
2015-03-30,45.141334533691406,45.51158826738273,44.8821580500322,45.082095405202935,20656500
2015-03-31,44.859954833984375,45.12653521538595,44.74147089805588,44.963625453109294,17346700
2015-04-01,44.68849563598633,45.1506610940221,44.5245002487272,45.03139249699391,18100600
2015-04-02,45.113380432128906,45.247557930210085,44.725756864737406,44.77793668692597,12697800
2015-04-06,45.07612228393555,45.28484163171385,44.46487032808092,44.66613378853124,12025200
2015-04-07,45.359378814697266,45.843909072409794,45.359378814697266,45.58300991431077,11505500
2015-04-08,45.50846862792969,45.88863925048282,45.42647093115988,45.515924515047544,11734000
2015-04-09,45.82155227661133,45.903549976588366,45.34447785156807,45.672465807888344,11728500
2015-04-10,45.993011474609375,46.052644369889386,45.62029663744656,45.732109382442275,9869700
2015-04-13,46.26881408691406,46.41790057254616,45.84391945119492,45.948279138060926,15468700
2015-04-14,46.99187088012695,47.41676541806935,46.76824262493425,46.93223516216221,33775400
2015-04-15,47.86403274536133,48.06530191718387,46.96951667884915,47.02169936565497,28732200
2015-04-16,47.565860748291016,47.90875481624455,47.4540451780288,47.76712706861016,16640500
2015-04-17,46.84278869628906,47.26023022930953,46.58188951539365,47.14841466973275,20221200
2015-04-20,47.14096450805664,47.349683865532995,47.06641984925224,47.12605557629576,12755300
2015-04-21,46.447715759277344,47.40931770678316,46.31353821430666,47.20805423291518,14985100
2015-04-22,46.91732406616211,47.07386639679711,46.238983445368476,46.70115170749099,14484700
2015-04-23,46.81296157836914,47.11858749138211,46.66387514294122,46.805508536212,12851300
2015-04-24,46.66389465332031,46.84279901935196,46.470084196742086,46.68625947631703,9597500
2015-04-27,46.47007751464844,47.07387646414592,46.44771553845565,46.73843260331398,11146400
2015-04-28,46.78315353393555,46.79806246496376,46.04517993135966,46.58189007402419,12307800
2015-04-29,47.409305572509766,47.62548076669845,46.559516567588496,46.63406120881941,17601200
2015-04-30,47.15585708618164,47.6180253075948,46.902411006034384,47.39439708242655,16840900
2015-05-01,47.416778564453125,47.61058901439774,47.208059180883794,47.48386734397017,11640100
2015-05-04,48.24420166015625,48.356017230727005,47.43913637665818,47.4689542412888,14972500
2015-05-05,48.005645751953125,48.69143931009593,47.92364807791714,48.08764342598911,17692400
2015-05-06,47.64783477783203,48.505079525469625,47.275120164700354,48.10254706082657,18087900
2015-05-07,48.08019256591797,48.15473436269379,47.1484058882839,47.46148484704705,15039900
2015-05-08,48.818180084228516,48.937451543165494,48.154748233626066,48.4305592170357,16802600
